CODGEO,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,surface_habitable_logement,consommation_energie_primaire,date_reception_dpe,region,region_code,est_passoire
93364,B,E,appartement,1988,110.2,69.0,2022-04-22,Île-de-France,11,0
92375,E,C,maison,1980,74.3,472.0,2022-04-23,Île-de-France,11,0
92143,C,B,appartement,2018,62.4,201.0,2022-04-23,Île-de-France,11,0
78077,D,F,appartement,1966,52.6,186.0,2022-04-23,Île-de-France,11,0
93318,G,F,maison,1935,71.8,622.0,2022-04-23,Île-de-France,11,1
78010,B,F,maison,2001,39.7,78.0,2022-04-24,Île-de-France,11,0
75129,C,B,maison,2017,111.9,172.0,2022-04-24,Île-de-France,11,0
94204,A,B,appartement,1988,19.6,53.0,2022-04-24,Île-de-France,11,0
93101,D,D,appartement,1972,39.1,267.0,2022-04-24,Île-de-France,11,0
92373,G,E,maison,1925,48.3,552.0,2022-04-25,Île-de-France,11,1
95357,F,C,maison,1936,81.7,691.0,2022-04-25,Île-de-France,11,1
78088,A,D,maison,2010,54.7,119.0,2022-04-25,Île-de-France,11,0
95058,C,G,maison,1987,46.7,330.0,2022-04-25,Île-de-France,11,0
77388,G,B,appartement,1957,55.6,629.0,2022-04-26,Île-de-France,11,1
92302,D,F,maison,1987,92.3,319.0,2022-04-26,Île-de-France,11,0
94328,F,G,appartement,1954,87.5,407.0,2022-04-26,Île-de-France,11,1
95197,F,F,appartement,1951,46.0,691.0,2022-04-26,Île-de-France,11,1
78145,D,F,maison,1969,100.7,164.0,2022-04-27,Île-de-France,11,0
95082,G,D,appartement,1939,108.0,561.0,2022-04-27,Île-de-France,11,1
75086,D,C,maison,1970,120.4,272.0,2022-04-27,Île-de-France,11,0
78312,F,F,appartement,1958,77.2,489.0,2022-04-27,Île-de-France,11,1
92275,C,C,appartement,1997,71.8,254.0,2022-04-28,Île-de-France,11,0
92131,E,E,maison,1987,55.4,393.0,2022-04-28,Île-de-France,11,0
95304,B,F,maison,2016,59.3,65.0,2022-04-28,Île-de-France,11,0
91379,F,E,appartement,1943,40.5,556.0,2022-04-28,Île-de-France,11,1
93283,B,D,appartement,2018,22.6,147.0,2022-04-29,Île-de-France,11,0
77326,G,D,appartement,1945,47.5,699.0,2022-04-29,Île-de-France,11,1
77206,D,B,maison,1975,54.3,197.0,2022-04-29,Île-de-France,11,0
77160,F,E,maison,1958,168.4,441.0,2022-04-29,Île-de-France,11,1
77063,C,D,appartement,1992,29.7,288.0,2022-04-30,Île-de-France,11,0
93080,D,E,maison,1969,91.1,197.0,2022-04-30,Île-de-France,11,0
93273,D,A,appartement,1976,157.9,234.0,2022-04-30,Île-de-France,11,0
91358,E,E,maison,1978,105.4,425.0,2022-04-30,Île-de-France,11,0
93190,G,C,maison,1929,41.0,487.0,2022-05-01,Île-de-France,11,1
93398,F,D,maison,1966,51.6,618.0,2022-05-01,Île-de-France,11,1
78116,D,E,maison,1982,87.8,218.0,2022-05-01,Île-de-France,11,0
77013,D,D,appartement,1978,128.4,195.0,2022-05-01,Île-de-France,11,0
78026,D,E,appartement,1988,45.8,240.0,2022-05-02,Île-de-France,11,0
92179,A,D,maison,1994,96.7,83.0,2022-05-02,Île-de-France,11,0
94144,G,E,maison,1929,34.3,468.0,2022-05-02,Île-de-France,11,1
94071,C,A,maison,1994,141.4,237.0,2022-05-02,Île-de-France,11,0
77397,F,D,appartement,1935,82.6,499.0,2022-05-03,Île-de-France,11,1
75051,E,B,maison,1975,47.1,560.0,2022-05-03,Île-de-France,11,0
77354,F,D,appartement,1965,23.5,491.0,2022-05-03,Île-de-France,11,1
77010,C,D,maison,1993,81.7,253.0,2022-05-04,Île-de-France,11,0
91107,G,E,appartement,1946,83.2,638.0,2022-05-04,Île-de-France,11,1
77038,B,E,maison,2010,70.6,95.0,2022-05-04,Île-de-France,11,0
95288,D,D,appartement,1990,44.0,286.0,2022-05-04,Île-de-France,11,0
91316,A,E,maison,1989,18.0,141.0,2022-05-05,Île-de-France,11,0
91250,D,F,immeuble,1975,26.9,162.0,2022-05-05,Île-de-France,11,0
91262,C,C,maison,2002,83.1,182.0,2022-05-05,Île-de-France,11,0
75060,G,G,appartement,1963,20.5,629.0,2022-05-05,Île-de-France,11,1
91048,E,G,appartement,1968,61.9,406.0,2022-05-06,Île-de-France,11,0
93294,D,D,appartement,1965,68.9,315.0,2022-05-06,Île-de-France,11,0
91297,F,G,appartement,1943,50.7,421.0,2022-05-06,Île-de-France,11,1
78386,C,B,maison,2000,88.5,299.0,2022-05-06,Île-de-France,11,0
93084,F,F,appartement,1945,54.6,484.0,2022-05-07,Île-de-France,11,1
91345,D,D,maison,1973,34.3,299.0,2022-05-07,Île-de-France,11,0
94068,E,D,appartement,1975,39.2,354.0,2022-05-07,Île-de-France,11,0
95360,F,E,maison,1954,128.8,416.0,2022-05-07,Île-de-France,11,1
91195,D,D,maison,1994,88.5,233.0,2022-05-08,Île-de-France,11,0
92163,B,D,maison,1997,67.4,80.0,2022-05-08,Île-de-France,11,0
78216,B,G,maison,2018,69.9,58.0,2022-05-08,Île-de-France,11,0
92282,D,D,appartement,1980,131.4,210.0,2022-05-08,Île-de-France,11,0
75131,G,E,maison,1957,82.9,571.0,2022-05-09,Île-de-France,11,1
78341,F,F,maison,1926,66.9,557.0,2022-05-09,Île-de-France,11,1
91178,B,C,maison,2010,35.0,136.0,2022-05-09,Île-de-France,11,0
95216,E,G,maison,1974,95.2,468.0,2022-05-09,Île-de-France,11,0
78366,D,F,immeuble,1967,130.3,325.0,2022-05-10,Île-de-France,11,0
94393,F,E,maison,1964,168.7,696.0,2022-05-10,Île-de-France,11,1
93181,F,F,appartement,1974,109.2,685.0,2022-05-10,Île-de-France,11,1
93239,D,E,appartement,1965,38.1,207.0,2022-05-10,Île-de-France,11,0
77097,C,D,maison,1998,150.9,312.0,2022-05-11,Île-de-France,11,0
91020,D,E,maison,1981,87.6,185.0,2022-05-11,Île-de-France,11,0
91360,D,G,maison,1982,56.1,165.0,2022-05-11,Île-de-France,11,0
92080,D,F,maison,1974,37.3,327.0,2022-05-11,Île-de-France,11,0
95261,A,D,maison,2012,64.1,146.0,2022-05-12,Île-de-France,11,0
93191,D,G,maison,1971,56.0,214.0,2022-05-12,Île-de-France,11,0
93265,G,E,appartement,1962,19.9,543.0,2022-05-12,Île-de-France,11,1
95350,D,C,appartement,1989,38.2,199.0,2022-05-12,Île-de-France,11,0
77275,B,F,appartement,2002,79.5,146.0,2022-05-13,Île-de-France,11,0
75094,C,G,maison,2005,64.2,274.0,2022-05-13,Île-de-France,11,0
77232,D,E,appartement,1994,95.9,314.0,2022-05-13,Île-de-France,11,0
93250,E,D,appartement,1965,78.9,539.0,2022-05-13,Île-de-France,11,0
95103,C,D,maison,2006,124.9,231.0,2022-05-14,Île-de-France,11,0
95354,D,G,appartement,1971,38.1,312.0,2022-05-14,Île-de-France,11,0
92196,E,G,appartement,1988,102.4,367.0,2022-05-14,Île-de-France,11,0
93280,D,G,maison,1968,46.3,229.0,2022-05-15,Île-de-France,11,0
95141,G,E,appartement,1928,78.5,392.0,2022-05-15,Île-de-France,11,1
77150,D,D,appartement,1973,84.1,260.0,2022-05-15,Île-de-France,11,0
95080,G,B,appartement,1951,32.6,531.0,2022-05-15,Île-de-France,11,1
93304,F,F,appartement,1974,62.5,626.0,2022-05-16,Île-de-France,11,1
94295,B,F,maison,1992,53.6,62.0,2022-05-16,Île-de-France,11,0
95057,G,F,appartement,1947,38.8,350.0,2022-05-16,Île-de-France,11,1
94247,E,E,appartement,1971,58.9,508.0,2022-05-16,Île-de-France,11,0
94238,F,E,maison,1923,127.7,354.0,2022-05-17,Île-de-France,11,1
92344,D,E,immeuble,1982,45.6,279.0,2022-05-17,Île-de-France,11,0
75137,E,E,appartement,1988,76.2,353.0,2022-05-17,Île-de-France,11,0
94209,E,E,maison,1982,99.6,497.0,2022-05-17,Île-de-France,11,0
77069,D,C,appartement,1968,59.6,242.0,2022-05-18,Île-de-France,11,0
95094,B,F,maison,2019,69.3,55.0,2022-05-18,Île-de-France,11,0
94074,C,E,maison,2015,101.8,216.0,2022-05-18,Île-de-France,11,0
93007,F,A,immeuble,1961,63.7,536.0,2022-05-18,Île-de-France,11,1
78313,E,D,maison,1976,72.8,568.0,2022-05-19,Île-de-France,11,0
95390,E,A,maison,1991,55.6,445.0,2022-05-19,Île-de-France,11,0
91059,G,G,appartement,1955,75.5,617.0,2022-05-19,Île-de-France,11,1
78240,F,C,maison,1962,86.6,372.0,2022-05-19,Île-de-France,11,1
77120,G,G,appartement,1943,42.4,698.0,2022-05-20,Île-de-France,11,1
93347,D,F,appartement,1983,90.2,220.0,2022-05-20,Île-de-France,11,0
95004,F,C,maison,1970,118.5,612.0,2022-05-20,Île-de-France,11,1
77219,E,F,maison,1986,28.7,629.0,2022-05-20,Île-de-France,11,0
91127,D,G,immeuble,1978,112.0,173.0,2022-05-21,Île-de-France,11,0
94297,A,C,appartement,2007,107.7,144.0,2022-05-21,Île-de-France,11,0
77011,F,F,appartement,1974,68.0,564.0,2022-05-21,Île-de-France,11,1
78347,D,G,appartement,1968,56.3,284.0,2022-05-21,Île-de-France,11,0
93180,C,E,appartement,1997,45.5,215.0,2022-05-22,Île-de-France,11,0
92065,G,D,appartement,1967,79.2,437.0,2022-05-22,Île-de-France,11,1
94022,E,C,immeuble,1990,80.9,635.0,2022-05-22,Île-de-France,11,0
94121,A,E,maison,2007,81.8,105.0,2022-05-22,Île-de-France,11,0
91128,D,G,maison,1973,140.2,313.0,2022-05-23,Île-de-France,11,0
91140,D,E,maison,1982,77.6,177.0,2022-05-23,Île-de-France,11,0
94341,D,F,maison,1965,46.7,169.0,2022-05-23,Île-de-France,11,0
93320,D,E,immeuble,1971,164.5,280.0,2022-05-23,Île-de-France,11,0
93164,C,E,appartement,1992,50.1,187.0,2022-05-24,Île-de-France,11,0
77116,E,G,maison,1981,62.6,372.0,2022-05-24,Île-de-France,11,0
95226,E,C,maison,1984,44.4,510.0,2022-05-24,Île-de-France,11,0
78153,D,D,appartement,1975,81.4,231.0,2022-05-25,Île-de-France,11,0
92225,D,C,maison,1986,52.8,222.0,2022-05-25,Île-de-France,11,0
78147,D,E,maison,1985,30.2,167.0,2022-05-25,Île-de-France,11,0
91295,D,D,appartement,1978,69.0,263.0,2022-05-25,Île-de-France,11,0
95332,F,G,maison,1952,39.2,649.0,2022-05-26,Île-de-France,11,1
91390,E,E,maison,1977,83.3,646.0,2022-05-26,Île-de-France,11,0
92044,D,A,immeuble,1976,31.6,307.0,2022-05-26,Île-de-France,11,0
95365,C,D,appartement,2013,35.8,252.0,2022-05-26,Île-de-France,11,0
78198,C,E,maison,2010,53.8,232.0,2022-05-27,Île-de-France,11,0
93036,D,D,maison,1980,74.5,172.0,2022-05-27,Île-de-France,11,0
93325,C,D,appartement,1987,54.5,314.0,2022-05-27,Île-de-France,11,0
91319,B,E,maison,2006,101.4,123.0,2022-05-27,Île-de-France,11,0
78252,C,F,appartement,2018,26.8,330.0,2022-05-28,Île-de-France,11,0
77005,E,G,appartement,1965,105.9,658.0,2022-05-28,Île-de-France,11,0
77104,E,D,immeuble,1975,69.9,378.0,2022-05-28,Île-de-France,11,0
95260,D,C,appartement,1980,39.7,172.0,2022-05-28,Île-de-France,11,0
77028,E,C,appartement,1965,39.0,367.0,2022-05-29,Île-de-France,11,0
77290,C,F,appartement,2007,61.2,283.0,2022-05-29,Île-de-France,11,0
77085,D,C,appartement,1976,77.2,169.0,2022-05-29,Île-de-France,11,0
91390,G,F,appartement,1962,61.1,589.0,2022-05-29,Île-de-France,11,1
95362,D,D,maison,1990,114.4,306.0,2022-05-30,Île-de-France,11,0
91399,C,C,maison,1988,34.2,260.0,2022-05-30,Île-de-France,11,0
93132,C,G,maison,1995,47.2,298.0,2022-05-30,Île-de-France,11,0
94175,C,D,maison,1993,80.9,191.0,2022-05-30,Île-de-France,11,0
94336,D,D,appartement,1985,52.6,223.0,2022-05-31,Île-de-France,11,0
92317,F,E,appartement,1973,61.1,466.0,2022-05-31,Île-de-France,11,1
77386,F,D,appartement,1968,76.4,677.0,2022-05-31,Île-de-France,11,1
78342,C,F,appartement,1991,60.1,198.0,2022-05-31,Île-de-France,11,0
94099,D,E,appartement,1979,125.1,180.0,2022-06-01,Île-de-France,11,0
78010,E,F,maison,1970,44.5,500.0,2022-06-01,Île-de-France,11,0
93394,E,E,appartement,1978,37.7,609.0,2022-06-01,Île-de-France,11,0
95293,F,E,immeuble,1925,43.2,422.0,2022-06-01,Île-de-France,11,1
94177,A,C,appartement,1999,140.6,148.0,2022-06-02,Île-de-France,11,0
94274,G,C,appartement,1939,34.0,604.0,2022-06-02,Île-de-France,11,1
77016,G,D,maison,1960,51.8,507.0,2022-06-02,Île-de-France,11,1
94301,C,D,maison,1997,133.5,159.0,2022-06-02,Île-de-France,11,0
94060,D,F,appartement,1986,35.2,200.0,2022-06-03,Île-de-France,11,0
77224,D,D,maison,1971,171.7,245.0,2022-06-03,Île-de-France,11,0
93240,D,E,immeuble,1971,91.3,195.0,2022-06-03,Île-de-France,11,0
92234,C,G,maison,2014,69.3,165.0,2022-06-03,Île-de-France,11,0
92309,E,C,maison,1978,68.9,387.0,2022-06-04,Île-de-France,11,0
95087,F,E,appartement,1936,78.1,363.0,2022-06-04,Île-de-France,11,1
78205,F,E,appartement,1926,54.5,351.0,2022-06-04,Île-de-France,11,1
78308,D,F,maison,1987,63.6,266.0,2022-06-05,Île-de-France,11,0
92066,F,E,appartement,1967,65.9,419.0,2022-06-05,Île-de-France,11,1
78091,D,D,maison,1989,31.7,306.0,2022-06-05,Île-de-France,11,0
94105,G,D,maison,1944,54.2,494.0,2022-06-05,Île-de-France,11,1
94152,D,D,maison,1981,140.6,295.0,2022-06-06,Île-de-France,11,0
77169,E,E,appartement,1987,33.4,677.0,2022-06-06,Île-de-France,11,0
78046,C,F,maison,1996,25.2,210.0,2022-06-06,Île-de-France,11,0
77006,F,E,appartement,1965,72.1,659.0,2022-06-06,Île-de-France,11,1
75139,D,F,maison,1991,61.6,230.0,2022-06-07,Île-de-France,11,0
91078,C,E,maison,2007,110.7,169.0,2022-06-07,Île-de-France,11,0
78337,E,E,maison,1967,71.1,534.0,2022-06-07,Île-de-France,11,0
94278,F,E,maison,1972,48.4,429.0,2022-06-07,Île-de-France,11,1
78263,D,A,appartement,1982,31.6,300.0,2022-06-08,Île-de-France,11,0
92044,F,B,appartement,1945,127.4,592.0,2022-06-08,Île-de-France,11,1
77054,C,F,appartement,2014,96.4,322.0,2022-06-08,Île-de-France,11,0
77324,G,G,immeuble,1965,53.0,679.0,2022-06-08,Île-de-France,11,1
91185,D,E,appartement,1979,61.3,220.0,2022-06-09,Île-de-France,11,0
77024,F,F,appartement,1947,74.8,437.0,2022-06-09,Île-de-France,11,1
92290,E,C,appartement,1994,73.8,346.0,2022-06-09,Île-de-France,11,0
77013,C,G,maison,2000,90.8,272.0,2022-06-09,Île-de-France,11,0
93124,B,C,maison,1986,47.3,125.0,2022-06-10,Île-de-France,11,0
91079,C,D,appartement,2016,73.1,262.0,2022-06-10,Île-de-France,11,0
78130,E,F,maison,1992,28.0,460.0,2022-06-10,Île-de-France,11,0
93033,E,F,immeuble,1990,21.0,414.0,2022-06-10,Île-de-France,11,0
91243,B,E,maison,2005,77.3,80.0,2022-06-11,Île-de-France,11,0
75002,E,G,maison,1987,85.7,675.0,2022-06-11,Île-de-France,11,0
75116,E,F,maison,1966,202.2,501.0,2022-06-11,Île-de-France,11,0
78214,F,F,appartement,1932,138.3,465.0,2022-06-11,Île-de-France,11,1
93139,E,C,maison,1970,106.6,669.0,2022-06-12,Île-de-France,11,0
75126,C,F,maison,1986,66.5,220.0,2022-06-12,Île-de-France,11,0
91158,A,G,maison,1999,88.9,99.0,2022-06-12,Île-de-France,11,0
95155,F,F,appartement,1956,46.2,577.0,2022-06-12,Île-de-France,11,1
78266,D,E,appartement,1968,149.5,177.0,2022-06-13,Île-de-France,11,0
77019,E,E,appartement,1992,45.4,610.0,2022-06-13,Île-de-France,11,0
94381,F,F,appartement,1928,48.2,384.0,2022-06-13,Île-de-France,11,1
78075,F,G,maison,1963,99.7,388.0,2022-06-13,Île-de-France,11,1
92191,G,D,appartement,1921,54.9,569.0,2022-06-14,Île-de-France,11,1
93393,E,E,maison,1968,68.2,389.0,2022-06-14,Île-de-France,11,0
92349,C,E,maison,1987,28.3,251.0,2022-06-14,Île-de-France,11,0
94156,E,B,appartement,1981,60.3,562.0,2022-06-14,Île-de-France,11,0
92096,E,D,appartement,1990,38.5,412.0,2022-06-15,Île-de-France,11,0
94096,B,C,appartement,2013,116.2,107.0,2022-06-15,Île-de-France,11,0
78373,E,E,maison,1965,74.8,524.0,2022-06-15,Île-de-France,11,0
94036,G,E,maison,1939,70.0,483.0,2022-06-16,Île-de-France,11,1
78053,F,E,appartement,1941,99.5,505.0,2022-06-16,Île-de-France,11,1
95144,A,D,appartement,2000,99.5,65.0,2022-06-16,Île-de-France,11,0
92207,D,C,maison,1990,129.8,177.0,2022-06-16,Île-de-France,11,0
78060,D,E,appartement,1971,76.7,280.0,2022-06-17,Île-de-France,11,0
94262,D,D,appartement,1967,119.3,268.0,2022-06-17,Île-de-France,11,0
92392,E,E,maison,1980,54.8,632.0,2022-06-17,Île-de-France,11,0
78137,G,B,appartement,1939,56.9,402.0,2022-06-17,Île-de-France,11,1
78277,F,D,appartement,1974,59.0,634.0,2022-06-18,Île-de-France,11,1
95173,E,D,appartement,1994,44.0,517.0,2022-06-18,Île-de-France,11,0
78195,C,E,maison,1996,68.1,282.0,2022-06-18,Île-de-France,11,0
77253,G,E,maison,1972,73.1,429.0,2022-06-18,Île-de-France,11,1
93008,C,D,maison,2017,47.6,280.0,2022-06-19,Île-de-France,11,0
93246,E,B,maison,1966,73.5,517.0,2022-06-19,Île-de-France,11,0
91280,F,F,appartement,1954,53.3,479.0,2022-06-19,Île-de-France,11,1
91244,E,D,appartement,1974,69.9,581.0,2022-06-19,Île-de-France,11,0
94283,D,F,appartement,1984,29.3,262.0,2022-06-20,Île-de-France,11,0
77291,G,E,appartement,1949,86.8,643.0,2022-06-20,Île-de-France,11,1
91022,A,G,maison,2019,48.1,57.0,2022-06-20,Île-de-France,11,0
77024,E,E,appartement,1980,72.9,352.0,2022-06-20,Île-de-France,11,0
94019,F,C,maison,1926,131.2,688.0,2022-06-21,Île-de-France,11,1
95255,C,D,maison,2008,72.7,226.0,2022-06-21,Île-de-France,11,0
78221,E,C,appartement,1973,46.4,610.0,2022-06-21,Île-de-France,11,0
95357,B,B,maison,1995,40.3,94.0,2022-06-21,Île-de-France,11,0
95218,D,F,maison,1990,73.4,226.0,2022-06-22,Île-de-France,11,0
95364,E,D,appartement,1985,39.2,362.0,2022-06-22,Île-de-France,11,0
95377,F,B,appartement,1960,29.3,447.0,2022-06-22,Île-de-France,11,1
94184,D,D,maison,1970,25.0,240.0,2022-06-22,Île-de-France,11,0
95138,G,A,appartement,1964,77.6,494.0,2022-06-23,Île-de-France,11,1
94319,E,D,immeuble,1981,68.9,493.0,2022-06-23,Île-de-France,11,0
93335,C,E,maison,2014,103.6,321.0,2022-06-23,Île-de-France,11,0
78375,C,F,appartement,2002,217.6,220.0,2022-06-23,Île-de-France,11,0
93131,E,D,maison,1985,34.7,664.0,2022-06-24,Île-de-France,11,0
77249,F,B,maison,1967,53.4,652.0,2022-06-24,Île-de-France,11,1
77311,D,C,maison,1976,127.3,279.0,2022-06-24,Île-de-France,11,0
91101,D,D,maison,1994,71.8,224.0,2022-06-24,Île-de-France,11,0
92359,F,D,appartement,1927,108.5,360.0,2022-06-25,Île-de-France,11,1
78269,D,C,appartement,1970,358.6,325.0,2022-06-25,Île-de-France,11,0
95002,B,E,maison,1989,32.3,86.0,2022-06-25,Île-de-France,11,0
93251,C,A,appartement,2003,81.8,158.0,2022-06-25,Île-de-France,11,0
94261,D,A,appartement,1977,98.3,187.0,2022-06-26,Île-de-France,11,0
92188,D,D,appartement,1989,171.1,229.0,2022-06-26,Île-de-France,11,0
95013,D,C,maison,1966,79.4,164.0,2022-06-26,Île-de-France,11,0
92251,B,E,appartement,2003,34.9,97.0,2022-06-27,Île-de-France,11,0
93145,F,C,maison,1969,36.4,578.0,2022-06-27,Île-de-France,11,1
77273,F,D,maison,1947,81.1,604.0,2022-06-27,Île-de-France,11,1
78247,D,D,appartement,1989,75.0,245.0,2022-06-27,Île-de-France,11,0
92319,B,E,maison,2016,134.4,122.0,2022-06-28,Île-de-France,11,0
78393,F,G,appartement,1926,54.8,531.0,2022-06-28,Île-de-France,11,1
77327,F,E,appartement,1971,127.1,613.0,2022-06-28,Île-de-France,11,1
78270,G,E,maison,1946,117.1,403.0,2022-06-28,Île-de-France,11,1
91194,G,D,maison,1937,54.7,526.0,2022-06-29,Île-de-France,11,1
94033,F,F,maison,1953,40.1,610.0,2022-06-29,Île-de-France,11,1
78301,D,E,maison,1969,71.0,193.0,2022-06-29,Île-de-France,11,0
93016,D,E,maison,1991,47.6,276.0,2022-06-29,Île-de-France,11,0
94263,E,C,maison,1971,98.3,587.0,2022-06-30,Île-de-France,11,0
91020,D,F,maison,1983,221.5,214.0,2022-06-30,Île-de-France,11,0
78321,F,G,maison,1930,95.2,497.0,2022-06-30,Île-de-France,11,1
91003,C,G,appartement,1992,125.9,153.0,2022-06-30,Île-de-France,11,0
93177,B,D,appartement,2014,53.0,104.0,2022-07-01,Île-de-France,11,0
77101,E,F,appartement,1989,84.2,363.0,2022-07-01,Île-de-France,11,0
94245,D,D,maison,1987,53.3,314.0,2022-07-01,Île-de-France,11,0
77337,C,G,maison,1997,51.7,228.0,2022-07-01,Île-de-France,11,0
92187,F,C,appartement,1953,30.2,494.0,2022-07-02,Île-de-France,11,1
77147,E,C,appartement,1976,71.7,510.0,2022-07-02,Île-de-France,11,0
95100,F,F,maison,1961,76.3,469.0,2022-07-02,Île-de-France,11,1
92192,D,F,appartement,1980,41.2,207.0,2022-07-02,Île-de-France,11,0
94225,G,F,maison,1929,53.4,402.0,2022-07-03,Île-de-France,11,1
77259,E,D,appartement,1983,204.3,638.0,2022-07-03,Île-de-France,11,0
78137,E,D,maison,1991,51.2,587.0,2022-07-03,Île-de-France,11,0
93034,C,D,appartement,2011,83.7,295.0,2022-07-03,Île-de-France,11,0
94395,F,F,maison,1974,79.0,464.0,2022-07-04,Île-de-France,11,1
78169,B,D,maison,1998,54.3,136.0,2022-07-04,Île-de-France,11,0
95179,D,F,appartement,1978,46.8,252.0,2022-07-04,Île-de-France,11,0
95345,D,B,maison,1988,182.6,183.0,2022-07-04,Île-de-France,11,0
77108,D,F,maison,1988,114.2,277.0,2022-07-05,Île-de-France,11,0
77119,B,G,appartement,2014,59.0,125.0,2022-07-05,Île-de-France,11,0
77246,B,B,maison,2005,55.9,67.0,2022-07-05,Île-de-France,11,0
77026,F,D,appartement,1936,108.6,437.0,2022-07-05,Île-de-France,11,1
92303,C,C,immeuble,2010,210.6,181.0,2022-07-06,Île-de-France,11,0
93317,C,D,appartement,2003,63.2,250.0,2022-07-06,Île-de-France,11,0
92382,B,F,maison,2011,30.4,61.0,2022-07-06,Île-de-France,11,0
78166,D,E,appartement,1983,23.6,244.0,2022-07-06,Île-de-France,11,0
77153,F,B,appartement,1966,44.2,345.0,2022-07-07,Île-de-France,11,1
93076,E,G,maison,1982,91.5,489.0,2022-07-07,Île-de-France,11,0
95377,D,E,maison,1974,32.8,311.0,2022-07-07,Île-de-France,11,0
95248,G,G,appartement,1950,50.4,681.0,2022-07-08,Île-de-France,11,1
94078,D,D,appartement,1977,99.6,160.0,2022-07-08,Île-de-France,11,0
78284,E,E,maison,1973,39.1,412.0,2022-07-08,Île-de-France,11,0
95138,D,G,maison,1970,102.8,294.0,2022-07-08,Île-de-France,11,0
94038,B,F,maison,2018,32.4,51.0,2022-07-09,Île-de-France,11,0
92189,D,E,appartement,1982,143.6,270.0,2022-07-09,Île-de-France,11,0
77272,D,F,maison,1989,64.0,286.0,2022-07-09,Île-de-France,11,0
94399,D,C,maison,1972,53.5,206.0,2022-07-09,Île-de-France,11,0
94094,C,C,appartement,1987,90.0,249.0,2022-07-10,Île-de-France,11,0
95034,G,F,appartement,1967,60.1,687.0,2022-07-10,Île-de-France,11,1
91264,D,C,appartement,1987,62.3,307.0,2022-07-10,Île-de-France,11,0
91048,E,D,maison,1994,83.8,669.0,2022-07-10,Île-de-France,11,0
75047,E,G,maison,1972,97.2,339.0,2022-07-11,Île-de-France,11,0
91392,D,E,maison,1988,98.3,191.0,2022-07-11,Île-de-France,11,0
94201,F,F,maison,1947,43.0,530.0,2022-07-11,Île-de-France,11,1
78373,C,F,maison,2010,115.6,252.0,2022-07-11,Île-de-France,11,0
78077,F,E,maison,1947,53.6,531.0,2022-07-12,Île-de-France,11,1
95020,E,E,appartement,1982,93.4,378.0,2022-07-12,Île-de-France,11,0
77266,E,E,appartement,1985,54.5,587.0,2022-07-12,Île-de-France,11,0
92069,E,B,appartement,1986,40.5,660.0,2022-07-12,Île-de-France,11,0
92310,D,E,maison,1987,82.6,276.0,2022-07-13,Île-de-France,11,0
78263,D,D,appartement,1984,110.0,265.0,2022-07-13,Île-de-France,11,0
91212,F,G,appartement,1924,173.7,527.0,2022-07-13,Île-de-France,11,1
93087,G,F,maison,1963,49.8,634.0,2022-07-13,Île-de-France,11,1
77309,E,E,maison,1991,98.2,520.0,2022-07-14,Île-de-France,11,0
77061,C,F,maison,2015,67.7,312.0,2022-07-14,Île-de-France,11,0
95124,C,E,maison,1986,87.2,263.0,2022-07-14,Île-de-France,11,0
94028,D,E,maison,1981,95.4,263.0,2022-07-14,Île-de-France,11,0
91319,D,F,maison,1969,39.1,319.0,2022-07-15,Île-de-France,11,0
94198,C,F,immeuble,2001,31.8,297.0,2022-07-15,Île-de-France,11,0
92071,E,C,maison,1990,43.7,332.0,2022-07-15,Île-de-France,11,0
93061,E,D,immeuble,1994,29.2,350.0,2022-07-15,Île-de-France,11,0
93138,D,E,maison,1984,79.0,174.0,2022-07-16,Île-de-France,11,0
94297,E,D,maison,1966,49.3,457.0,2022-07-16,Île-de-France,11,0
77225,D,F,maison,1986,150.6,193.0,2022-07-16,Île-de-France,11,0
93034,E,D,appartement,1991,84.6,624.0,2022-07-16,Île-de-France,11,0
94282,D,C,appartement,1980,39.5,270.0,2022-07-17,Île-de-France,11,0
78329,E,E,appartement,1966,34.4,609.0,2022-07-17,Île-de-France,11,0
78116,G,D,maison,1974,140.0,694.0,2022-07-17,Île-de-France,11,1
94241,D,D,appartement,1991,43.6,303.0,2022-07-17,Île-de-France,11,0
78067,E,G,maison,1983,144.8,413.0,2022-07-18,Île-de-France,11,0
93074,C,E,maison,1993,43.5,268.0,2022-07-18,Île-de-France,11,0
77366,D,F,maison,1994,76.8,317.0,2022-07-18,Île-de-France,11,0
92285,B,G,maison,1996,71.5,81.0,2022-07-19,Île-de-France,11,0
93259,C,D,maison,2009,80.9,163.0,2022-07-19,Île-de-France,11,0
77212,E,F,maison,1994,131.6,426.0,2022-07-19,Île-de-France,11,0
95090,E,E,appartement,1975,93.8,377.0,2022-07-19,Île-de-France,11,0
78325,E,F,maison,1976,123.5,482.0,2022-07-20,Île-de-France,11,0
77178,C,E,appartement,1985,81.3,282.0,2022-07-20,Île-de-France,11,0
94310,E,B,appartement,1992,50.1,404.0,2022-07-20,Île-de-France,11,0
94207,F,B,maison,1941,237.1,458.0,2022-07-20,Île-de-France,11,1
91364,D,G,appartement,1989,157.1,204.0,2022-07-21,Île-de-France,11,0
78236,F,F,appartement,1923,67.7,491.0,2022-07-21,Île-de-France,11,1
94289,D,C,maison,1983,75.7,270.0,2022-07-21,Île-de-France,11,0
