CODGEO,NOM_COMMUNE,REVENU_MEDIAN,TAUX_PAUVRETE,MENAGES_PAUVRES
02070,Bernot,20205.0,23.2,24.5
02071,Berny-Rivière,21284.0,21.5,20.5
02072,Berrieux,19764.0,22.9,22.6
02073,Berry-au-Bac,20799.0,20.6,24.6
02074,Bertaucourt-Epourdon,20496.0,21.8,24.1
02075,Berthenicourt,15064.0,29.7,30.1
02076,Bertricourt,15616.0,28.1,23.4
02078,Besmé,17278.0,24.5,25.9
02079,Besmont,18951.0,24.1,20.3
02080,Besny-et-Loizy,19857.0,22.2,25.6
02081,Béthancourt-en-Vaux,15620.0,29.1,29.8
02082,Beugneux,18396.0,23.1,24.1
02083,Beuvardes,16740.0,29.7,35.5
02084,Bézu-le-Guéry,21441.0,23.8,27.4
02085,Bézu-Saint-Germain,16370.0,28.7,30.1
02086,Bichancourt,15176.0,28.9,33.4
02087,Bieuxy,18533.0,28.2,27.8
02088,Bièvres,13125.0,32.2,30.9
02089,Billy-sur-Aisne,17340.0,27.0,31.2
02090,Billy-sur-Ourcq,17972.0,25.7,21.5
02091,Blanzy-lès-Fismes,22370.0,19.2,16.3
02093,Blérancourt,19740.0,23.4,27.2
02094,Blesmes,18327.0,30.0,28.5
02095,Bohain-en-Vermandois,20695.0,22.6,24.3
02096,Bois-lès-Pargny,16457.0,28.3,25.4
02097,Boncourt,18470.0,27.0,25.5
02098,Bonneil,16107.0,27.6,25.9
02099,Bonnesvalyn,18193.0,24.1,20.0
02100,Bony,11880.0,31.9,29.2
02101,Bosmont-sur-Serre,15047.0,28.6,26.1
02102,Bouconville-Vauclair,19261.0,23.3,24.6
02103,Boué,20370.0,22.6,21.6
02104,Bouffignereux,19693.0,28.9,26.9
02105,Bouresches,18209.0,25.7,30.2
02106,Bourg-et-Comin,17064.0,26.3,26.4
02107,Bourguignon-sous-Coucy,14781.0,32.7,30.2
02108,Bourguignon-sous-Montbavin,17168.0,30.1,31.7
02109,La Bouteille,16519.0,28.7,33.3
02110,Braine,18758.0,27.6,24.2
02111,Brancourt-en-Laonnois,17702.0,25.8,28.0
02112,Brancourt-le-Grand,16553.0,30.1,26.7
02114,Brasles,18751.0,25.2,21.1
02115,Braye-en-Laonnois,19694.0,22.4,19.2
02116,Braye-en-Thiérache,20651.0,21.7,20.0
02117,Bray-Saint-Christophe,22459.0,24.5,22.2
02118,Braye,15737.0,27.1,31.2
02119,Brécy,14785.0,29.0,29.7
02120,Brenelle,17113.0,33.7,31.0
02121,Breny,22646.0,20.6,23.2
02122,Brie,22326.0,21.1,17.2
02123,Brissay-Choigny,19604.0,22.9,21.8
02124,Brissy-Hamégicourt,20331.0,19.7,18.7
02125,Brumetz,17578.0,28.3,32.1
02126,Brunehamel,20551.0,23.4,23.3
02127,Bruyères-sur-Fère,18480.0,26.7,21.7
02128,Bruyères-et-Montbérault,20092.0,24.5,20.6
02129,Bruys,18424.0,26.7,29.3
02130,Bucilly,20103.0,27.8,32.9
02131,Bucy-le-Long,22336.0,25.8,21.1
02132,Bucy-lès-Cerny,23092.0,20.5,19.4
02133,Bucy-lès-Pierrepont,20181.0,27.2,24.0
02134,Buire,14148.0,36.4,34.0
02135,Buironfosse,16784.0,28.1,26.7
02136,Burelles,19452.0,24.3,26.2
02137,Bussiares,15104.0,30.6,29.8
02138,Buzancy,19887.0,23.6,23.2
02139,Caillouël-Crépigny,19410.0,26.3,30.3
02140,Camelin,17655.0,25.8,26.7
02141,La Capelle,11880.0,35.9,41.8
02142,Castres,20318.0,23.6,24.3
02143,Le Catelet,20202.0,26.1,22.8
02144,Caulaincourt,23654.0,21.1,21.9
02145,Caumont,25067.0,19.5,21.1
02146,Celles-lès-Condé,17596.0,27.0,31.5
02148,Celles-sur-Aisne,23680.0,18.2,17.4
02149,Cerizy,18649.0,24.6,23.3
02150,Cerny-en-Laonnois,13243.0,33.0,29.1
02151,Cerny-lès-Bucy,20653.0,22.0,25.7
02152,Cerseuil,18041.0,26.9,29.8
02153,Cessières-Suzy,19764.0,22.6,21.9
02154,Chacrise,17060.0,28.3,31.9
02155,Chaillevois,14989.0,29.6,27.3
02156,Chalandry,16864.0,31.2,27.9
02157,Chambry,20535.0,21.0,22.2
02158,Chamouille,17014.0,26.4,21.3
02159,Champs,21749.0,21.6,25.3
02160,Chaourse,15405.0,29.3,29.0
02162,La Chapelle-sur-Chézy,15203.0,27.5,24.7
02163,Charly-sur-Marne,19518.0,25.4,20.4
02164,Le Charmel,23896.0,18.8,21.2
02165,Charmes,20655.0,25.0,22.0
02166,Chartèves,16539.0,23.9,20.4
02167,Chassemy,15535.0,29.0,24.2
02168,Château-Thierry,20121.0,24.3,24.0
02169,Châtillon-lès-Sons,19942.0,24.2,22.3
02170,Châtillon-sur-Oise,18770.0,25.0,23.0
02171,Chaudardes,16046.0,27.8,27.2
02172,Chaudun,16262.0,25.9,24.2
02173,Chauny,18989.0,29.2,31.3
02174,Chavignon,15083.0,27.5,33.0
02175,Chavigny,20516.0,21.6,23.3
02176,Chavonne,15695.0,29.8,23.9
02177,Chérêt,17290.0,27.5,24.7
02178,Chermizy-Ailles,18665.0,26.9,26.4
02179,Chéry-Chartreuve,12121.0,32.6,38.7
02180,Chéry-lès-Pouilly,20250.0,20.0,21.5
02181,Chéry-lès-Rozoy,22104.0,17.5,15.4
02182,Chevennes,15855.0,28.1,29.7
02183,Chevregny,15752.0,25.4,24.2
02184,Chevresis-Monceau,15513.0,31.7,36.8
02185,Chézy-en-Orxois,15301.0,29.4,24.9
02186,Chézy-sur-Marne,19683.0,27.2,24.1
02187,Chierry,22877.0,25.2,28.8
02188,Chigny,14927.0,29.7,35.5
02189,Chivres-en-Laonnois,19655.0,21.7,21.2
02190,Chivres-Val,17192.0,23.3,19.7
02191,Chivy-lès-Étouvelles,19771.0,28.4,32.1
02192,Chouy,12934.0,31.6,29.3
02193,Cierges,16486.0,30.4,29.8
02194,Cilly,18799.0,23.5,25.7
02195,Ciry-Salsogne,17268.0,24.2,25.9
02196,Clacy-et-Thierret,23598.0,15.1,13.3
02197,Clairfontaine,17519.0,27.2,26.9
02198,Clamecy,16450.0,27.6,31.5
02199,Clastres,17785.0,23.7,24.8
02200,Clermont-les-Fermes,17757.0,23.1,23.4
02201,Cœuvres-et-Valsery,12130.0,31.9,28.8
02203,Coincy,18279.0,27.7,29.9
02204,Coingt,12851.0,33.3,33.0
02205,Colligis-Crandelain,18629.0,25.7,30.2
02206,Colonfay,16341.0,26.0,22.0
02207,Commenchon,16474.0,31.6,28.4
02208,Concevreux,13720.0,30.0,30.4
02209,Condé-en-Brie,19484.0,25.2,23.0
02210,Condé-sur-Aisne,19883.0,22.3,21.6
02211,Condé-sur-Suippe,19389.0,22.1,18.7
02212,Condren,17906.0,23.5,20.3
02213,Connigis,18176.0,24.5,28.5
02214,Contescourt,18986.0,26.6,30.1
02215,Corbeny,17939.0,26.6,29.1
02216,Corcy,18406.0,25.7,30.4
02217,Coucy-le-Château-Auffrique,19354.0,23.7,19.4
02218,Coucy-lès-Eppes,16872.0,32.6,33.9
02219,Coucy-la-Ville,19757.0,24.8,24.8
02220,Coulonges-Cohan,13976.0,33.3,38.2
02221,Coupru,16657.0,26.7,24.8
02222,Courbes,14080.0,30.3,35.4
02223,Courboin,20009.0,23.6,21.3
02224,Courcelles-sur-Vesle,22394.0,20.5,24.5
02225,Courchamps,13758.0,26.5,31.2
02226,Courmelles,13086.0,28.5,33.7
02227,Courmont,15012.0,30.0,35.3
02228,Courtemont-Varennes,11880.0,33.9,39.3
02229,Courtrizy-et-Fussigny,18113.0,27.5,24.0
02230,Couvrelles,18027.0,27.6,26.1
02231,Couvron-et-Aumencourt,20707.0,23.2,27.7
02232,Coyolles,15342.0,32.4,37.1
02233,Cramaille,18454.0,27.3,29.6
02234,Craonne,19358.0,26.1,27.7
02235,Craonnelle,22345.0,17.5,15.7
02236,Crécy-au-Mont,17186.0,26.2,25.6
02237,Crécy-sur-Serre,22080.0,19.1,18.2
02238,Crépy,12673.0,33.0,27.6
02239,Crézancy,15436.0,30.9,30.5
02240,Croix-Fonsomme,23258.0,21.5,20.8
02241,La Croix-sur-Ourcq,19885.0,23.3,24.6
02242,Crouttes-sur-Marne,20613.0,21.5,21.8
02243,Crouy,17731.0,26.2,23.3
02244,Crupilly,19156.0,23.5,25.8
02245,Cuffies,16314.0,28.2,24.5
02246,Cugny,15119.0,29.3,28.6
02248,Cuirieux,17190.0,27.2,29.6
02249,Cuiry-Housse,21112.0,25.9,29.1
02250,Cuiry-lès-Chaudardes,16678.0,29.1,24.1
02251,Cuiry-lès-Iviers,20821.0,22.1,24.5
02252,Cuissy-et-Geny,20781.0,21.0,21.6
02253,Cuisy-en-Almont,21062.0,20.5,18.7
02254,Cutry,14924.0,28.9,29.6
02255,Cys-la-Commune,24423.0,16.6,13.3
02256,Dagny-Lambercy,16818.0,27.5,25.4
02257,Dallon,18494.0,23.9,27.9
02258,Dammard,18130.0,28.4,26.6
02259,Dampleux,15316.0,26.4,27.7
02260,Danizy,18967.0,22.4,21.9
02261,Dercy,21419.0,21.2,23.2
02262,Deuillet,17068.0,25.6,22.0
02263,Dhuizel,16111.0,25.5,25.2
02264,Dizy-le-Gros,17452.0,26.7,27.1
02265,Dohis,22476.0,23.1,18.7
02266,Dolignon,19132.0,23.4,19.7
02267,Dommiers,17973.0,24.8,23.5
02268,Domptin,17479.0,27.1,24.1
02269,Dorengt,15335.0,27.2,21.8
02270,Douchy,17362.0,27.1,24.9
02271,Dravegny,16236.0,32.7,38.3
02272,Droizy,14096.0,30.6,36.7
02273,Dury,16285.0,29.2,29.5
02274,Ébouleau,20301.0,22.7,19.6
02275,Effry,19370.0,24.8,28.9
02276,Englancourt,19071.0,26.3,24.2
02277,Épagny,19162.0,26.0,21.9
02278,Éparcy,18246.0,26.9,23.4
02279,Épaux-Bézu,11880.0,32.9,29.1
02280,Épieds,19523.0,28.8,26.2
02281,L'Épine-aux-Bois,18747.0,28.1,26.3
02282,Eppes,18210.0,23.5,20.2
02283,Erlon,18185.0,27.7,32.3
02284,Erloy,16938.0,23.7,23.9
02286,Esquéhéries,15937.0,28.5,33.2
02287,Essigny-le-Grand,17076.0,29.8,31.8
02288,Essigny-le-Petit,24842.0,19.4,22.1
02289,Essises,20843.0,23.0,22.0
02290,Essômes-sur-Marne,18423.0,25.0,26.3
02291,Estrées,16641.0,25.4,24.4
02292,Étampes-sur-Marne,19592.0,24.5,29.3
02293,Étaves-et-Bocquiaux,15089.0,28.1,30.6
02294,Étouvelles,14916.0,31.9,37.6
02295,Étréaupont,16538.0,29.2,29.2
02296,Étreillers,18379.0,24.0,24.7
02297,Étrépilly,18065.0,23.5,19.3
02298,Étreux,16856.0,26.7,25.9
02299,Évergnicourt,11880.0,35.1,37.1
02302,Faverolles,13186.0,34.6,37.1
02303,Fayet,19328.0,25.5,26.7
02304,La Fère,17050.0,27.9,31.4
02305,Fère-en-Tardenois,17155.0,27.8,25.3
02306,La Ferté-Chevresis,14834.0,29.2,34.9
02307,La Ferté-Milon,19318.0,25.9,22.2
02308,Fesmy-le-Sart,14850.0,29.5,30.0
02309,Festieux,13706.0,34.5,37.0
02310,Fieulaine,25013.0,18.3,17.0
02312,La Flamengrie,17691.0,32.0,33.2
02313,Flavigny-le-Grand-et-Beaurain,18036.0,26.1,24.0
02315,Flavy-le-Martel,19475.0,24.8,28.2
02316,Fleury,21045.0,21.4,17.6
02317,Fluquières,20266.0,25.2,21.5
02318,Folembray,21165.0,23.9,20.9
02319,Fonsomme,15427.0,32.9,27.3
02320,Fontaine-lès-Clercs,14007.0,37.9,43.7
02321,Fontaine-lès-Vervins,21772.0,22.0,21.6
02322,Fontaine-Notre-Dame,18099.0,25.4,24.7
02323,Fontaine-Uterte,13363.0,33.2,32.9
02324,Fontenelle,20731.0,25.7,23.1
02326,Fontenoy,19563.0,23.5,23.6
02327,Foreste,16436.0,27.2,25.3
02328,Fossoy,17514.0,30.0,30.8
02329,Fourdrain,14663.0,31.1,29.1
02330,Francilly-Selency,19238.0,24.4,19.6
02331,Franqueville,13234.0,32.8,30.2
02332,Fresnes-en-Tardenois,20511.0,25.2,27.9
02333,Fresnes-sous-Coucy,16624.0,26.8,29.6
02334,Fresnoy-le-Grand,19823.0,25.6,27.7
02335,Fressancourt,21695.0,18.8,15.2
02336,Frières-Faillouël,17490.0,23.9,23.8
02337,Froidestrées,17116.0,26.1,21.7
02338,Froidmont-Cohartille,19455.0,24.1,24.8
02339,Gandelu,18292.0,24.7,29.0
02340,Gauchy,17908.0,28.0,32.5
02341,Gercy,20269.0,22.7,18.5
02342,Gergny,17782.0,24.6,23.1
02343,Germaine,15692.0,26.4,26.2
02345,Gibercourt,19354.0,26.8,31.2
02346,Gizy,17559.0,27.2,26.4
02347,Gland,13265.0,32.6,33.5
02349,Goudelancourt-lès-Berrieux,20074.0,22.8,19.8
02350,Goudelancourt-lès-Pierrepont,17545.0,27.8,25.3
02351,Goussancourt,17384.0,28.1,25.0
02352,Gouy,21470.0,19.5,15.8
02353,Grandlup-et-Fay,16277.0,28.5,33.3
02354,Grandrieux,25068.0,16.1,14.2
02355,Gricourt,18065.0,23.2,23.4
02356,Grisolles,19275.0,22.2,20.1
02357,Gronard,14507.0,32.2,31.3
02358,Grougis,17035.0,27.5,23.2
02359,Grugies,17908.0,24.6,25.0
02360,Villeneuve-sur-Aisne,21095.0,22.5,21.2
02361,Guise,19599.0,22.7,27.0
02362,Guivry,18085.0,24.6,28.0
02363,Guny,20086.0,22.4,18.5
02364,Guyencourt,15476.0,28.4,33.8
02366,Hannapes,13706.0,33.1,38.7
02367,Happencourt,12174.0,35.1,38.0
02368,Haramont,18813.0,25.4,20.9
02369,Harcigny,19224.0,26.4,22.7
02370,Hargicourt,16382.0,28.0,32.1
02371,Harly,17695.0,26.1,28.3
02372,Hartennes-et-Taux,15983.0,30.2,26.0
02373,Hary,18059.0,26.3,25.3
02374,Lehaucourt,16834.0,29.8,31.4
02375,Hautevesnes,16157.0,31.8,33.1
02376,Hauteville,20576.0,23.4,25.7
02377,Haution,16441.0,28.9,31.7
02378,La Hérie,19857.0,22.5,18.5
02379,Le Hérie-la-Viéville,17657.0,27.1,31.0
02380,Hinacourt,14152.0,33.9,27.9
02381,Hirson,20809.0,24.6,20.3
02382,Holnon,11880.0,31.7,37.8
02383,Homblières,20381.0,25.6,24.9
02384,Houry,12753.0,35.9,29.3
02385,Housset,20454.0,24.5,28.8
02386,Iron,15982.0,28.8,33.7
02387,Itancourt,16527.0,27.3,23.4
02388,Iviers,13103.0,35.2,38.1
02389,Jaulgonne,14819.0,30.8,34.5
02390,Jeancourt,17996.0,24.8,23.0
02391,Jeantes,17666.0,29.2,29.2
02392,Joncourt,24304.0,22.0,19.2
02393,Jouaignes,20126.0,21.7,24.7
02395,Jumencourt,15724.0,29.3,24.4
02396,Jumigny,19616.0,22.6,20.6
02397,Jussy,14835.0,29.7,26.6
02398,Juvigny,22267.0,17.8,21.2
02399,Juvincourt-et-Damary,17066.0,26.0,31.2
02400,Laffaux,13523.0,32.2,28.4
02401,Laigny,22775.0,22.2,25.6
02402,Lanchy,19763.0,20.9,21.5
02403,Landifay-et-Bertaignemont,17540.0,27.9,23.9
02404,Landouzy-la-Cour,17307.0,26.0,21.5
02405,Landouzy-la-Ville,20300.0,19.9,19.5
02406,Landricourt,19290.0,29.0,32.0
02407,Laniscourt,22702.0,19.8,19.6
02408,Laon,22572.0,22.0,25.1
02409,Lappion,19709.0,22.6,18.2
02410,Largny-sur-Automne,22111.0,17.1,13.9
02411,Latilly,22255.0,19.0,16.6
02412,Launoy,20645.0,22.5,20.9
02413,Laval-en-Laonnois,19607.0,27.1,22.3
02414,Lavaqueresse,19382.0,24.2,21.7
02415,Laversine,18648.0,26.3,23.1
02416,Lemé,23235.0,18.9,16.1
02417,Lempire,15498.0,29.4,29.4
02418,Lerzy,18712.0,28.4,24.6
02419,Leschelle,15736.0,30.5,25.1
02420,Lesdins,20588.0,19.6,20.2
02421,Lesges,17109.0,29.6,25.5
02422,Lesquielles-Saint-Germain,15511.0,33.3,29.1
02423,Leuilly-sous-Coucy,20956.0,25.9,21.4
02424,Leury,16499.0,28.6,25.4
02425,Leuze,23237.0,20.8,21.5
02426,Levergies,19126.0,26.1,31.0
02427,Lhuys,16622.0,26.9,23.6
02428,Licy-Clignon,19082.0,23.1,18.5
02429,Lierval,19419.0,27.0,24.9
02430,Liesse-Notre-Dame,16267.0,28.8,34.2
02431,Liez,20727.0,23.4,20.2
02432,Limé,19948.0,24.8,28.7
02433,Lislet,21427.0,21.0,18.1
02435,Logny-lès-Aubenton,16342.0,28.5,31.0
02438,Longpont,15808.0,28.4,30.3
02439,Les Septvallons,12886.0,31.2,29.5
02440,Lor,16733.0,30.7,35.4
02441,Louâtre,17186.0,25.1,28.8
02442,Loupeigne,22822.0,21.6,24.5
02443,Lucy-le-Bocage,15075.0,30.0,27.9
02444,Lugny,16127.0,27.6,28.8
02445,Luzoir,19538.0,23.6,23.2
02446,Ly-Fontaine,19510.0,25.1,26.7
02447,Maast-et-Violaine,19758.0,25.2,26.0
02448,Mâchecourt,15597.0,25.8,23.8
02449,Macogny,11880.0,33.1,30.9
02450,Macquigny,17597.0,24.9,21.3
02451,Magny-la-Fosse,15799.0,28.4,27.1
02452,Maissemy,15868.0,29.1,26.3
02453,Maizy,13359.0,31.0,31.8
02454,La Malmaison,19880.0,25.1,22.2
02455,Malzy,19002.0,22.3,21.1
02456,Manicamp,17073.0,27.2,30.5
02457,Marchais,17974.0,26.2,23.5
02458,Dhuys et Morin-en-Brie,20051.0,22.2,19.0
02459,Marcy,17615.0,25.4,26.5
02460,Marcy-sous-Marle,21850.0,21.7,21.1
02461,Marest-Dampcourt,16434.0,28.5,31.3
02462,Mareuil-en-Dôle,21004.0,23.7,19.9
02463,Marfontaine,24392.0,17.2,13.8
02464,Margival,19112.0,25.5,25.6
02465,Marigny-en-Orxois,22016.0,19.5,22.5
02466,Marizy-Sainte-Geneviève,21248.0,22.2,19.1
02467,Marizy-Saint-Mard,21834.0,19.6,18.5
02468,Marle,24870.0,18.3,19.0
02469,Marly-Gomont,14971.0,29.6,28.5
02470,Martigny,20140.0,22.4,25.0
02471,Martigny-Courpierre,19420.0,21.7,23.1
02472,Mauregny-en-Haye,15778.0,28.7,31.3
02473,Mayot,18967.0,23.9,19.9
02474,Mennessis,13514.0,33.2,31.9
02476,Mennevret,23418.0,20.9,23.4
02477,Mercin-et-Vaux,16228.0,29.3,28.8
02478,Merlieux-et-Fouquerolles,19740.0,25.5,22.8
02480,Mesbrecourt-Richecourt,19140.0,26.8,24.5
02481,Mesnil-Saint-Laurent,19440.0,24.3,22.0
02482,Meurival,18150.0,26.0,25.0
02483,Mézières-sur-Oise,17908.0,25.5,22.9
02484,Mézy-Moulins,17349.0,27.7,28.6
02485,Missy-aux-Bois,19564.0,28.4,33.5
02486,Missy-lès-Pierrepont,23913.0,17.1,19.6
02487,Missy-sur-Aisne,18944.0,22.0,26.3
02488,Molain,20563.0,25.0,23.9
02489,Molinchart,18834.0,25.6,25.0
02490,Monampteuil,23613.0,20.7,23.1
02491,Monceau-le-Neuf-et-Faucouzy,12455.0,31.9,27.3
02492,Monceau-lès-Leups,21046.0,24.2,21.2
02493,Monceau-le-Waast,17671.0,27.0,30.5
02494,Monceau-sur-Oise,19235.0,22.9,23.1
02495,Mondrepuis,19432.0,23.1,25.6
02496,Monnes,18158.0,28.0,28.2
02497,Mons-en-Laonnois,20285.0,23.9,22.8
02498,Montaigu,20824.0,26.1,22.8
02499,Montbavin,20716.0,23.7,23.4
02500,Montbrehain,18422.0,27.0,31.1
02501,Montchâlons,16731.0,30.8,28.4
02502,Montcornet,13317.0,29.9,24.5
02503,Mont-d'Origny,18032.0,25.6,22.4
02504,Montescourt-Lizerolles,21209.0,20.3,19.2
02505,Montfaucon,17706.0,28.8,33.9
02506,Montgobert,15980.0,29.4,25.0
02507,Montgru-Saint-Hilaire,22801.0,16.5,16.6
02508,Monthenault,17157.0,25.8,29.4
02509,Monthiers,18246.0,25.6,20.5
02510,Monthurel,14042.0,36.7,31.3
02511,Montigny-en-Arrouaise,23593.0,21.8,21.4
02512,Montigny-l'Allier,17525.0,22.8,21.2
02513,Montigny-le-Franc,16006.0,30.5,32.5
02514,Montigny-Lengrain,16807.0,29.3,25.6
02515,Montigny-lès-Condé,22210.0,21.6,20.3
02516,Montigny-sous-Marle,20478.0,23.7,19.8
02517,Montigny-sur-Crécy,21094.0,21.7,23.7
02518,Montlevon,17607.0,26.1,24.3
02519,Montloué,22268.0,22.3,22.1
02520,Mont-Notre-Dame,17645.0,27.9,31.4
02521,Montreuil-aux-Lions,11880.0,38.4,45.1
02522,Mont-Saint-Jean,18166.0,25.8,23.1
02523,Mont-Saint-Martin,11880.0,29.5,25.9
02524,Mont-Saint-Père,12630.0,35.6,41.8
02525,Morcourt,17723.0,27.8,30.6
02526,Morgny-en-Thiérache,13844.0,34.3,31.0
02527,Morsain,20214.0,25.0,22.1
02528,Mortefontaine,15621.0,25.0,25.0
02529,Mortiers,13230.0,34.5,35.9
02530,Moulins,20033.0,23.5,25.3
02531,Moussy-Verneuil,26221.0,17.8,15.0
02532,Moÿ-de-l'Aisne,21042.0,20.4,24.4
02533,Muret-et-Crouttes,16298.0,24.2,28.8
02534,Muscourt,18538.0,28.2,33.6
02535,Nampcelles-la-Cour,16158.0,30.3,27.9
02536,Nampteuil-sous-Muret,15557.0,24.0,20.5
02537,Nanteuil-la-Fosse,19088.0,28.6,32.5
02538,Nanteuil-Notre-Dame,19800.0,22.1,24.9
02539,Nauroy,18995.0,22.7,18.6
02540,Nesles-la-Montagne,19665.0,22.1,21.8
02541,Neufchâtel-sur-Aisne,18632.0,25.3,25.9
02542,Neuflieux,17419.0,24.6,26.6
02543,Neuilly-Saint-Front,15372.0,29.3,25.5
02544,Neuve-Maison,19107.0,21.6,22.8
02545,La Neuville-Bosmont,13830.0,31.2,29.2
02546,La Neuville-en-Beine,17134.0,28.4,30.2
02547,La Neuville-Housset,19569.0,24.1,19.4
02548,La Neuville-lès-Dorengt,21469.0,20.3,16.5
02549,Neuville-Saint-Amand,19693.0,23.9,25.6
02550,Neuville-sur-Ailette,18727.0,25.0,27.5
02551,Neuville-sur-Margival,13960.0,30.2,25.8
02552,Neuvillette,18480.0,22.8,18.5
02553,Nizy-le-Comte,22035.0,24.5,25.9
02554,Nogentel,18196.0,27.1,26.8
02555,Nogent-l'Artaud,20909.0,20.6,23.7
02556,Noircourt,17552.0,25.8,28.6
02557,Noroy-sur-Ourcq,18476.0,24.6,21.9
02558,Le Nouvion-en-Thiérache,17126.0,27.6,26.0
02559,Nouvion-et-Catillon,14757.0,26.9,32.0
02560,Nouvion-le-Comte,16996.0,26.2,28.0
02561,Nouvion-le-Vineux,20121.0,23.2,22.0
02562,Nouvron-Vingré,24224.0,13.7,14.1
02563,Noyales,20852.0,18.1,16.2
02564,Bernoy-le-Château,17519.0,26.6,27.0
02565,Œuilly,19743.0,24.0,26.7
02566,Ognes,14954.0,32.0,28.5
02567,Ohis,15141.0,31.2,25.9
02568,Oigny-en-Valois,19986.0,19.8,17.4
02569,Oisy,17796.0,26.5,23.8
02570,Ollezy,14945.0,29.6,34.8
02571,Omissy,21572.0,21.5,24.3
02572,Orainville,16835.0,27.8,31.0
02573,Orgeval,21807.0,19.6,17.2
02574,Origny-en-Thiérache,21481.0,19.2,17.1
02575,Origny-Sainte-Benoite,16485.0,25.8,20.7
02576,Osly-Courtil,16288.0,29.1,26.0
02577,Ostel,17957.0,24.9,22.6
02578,Oulches-la-Vallée-Foulon,24277.0,18.7,16.4
02579,Oulchy-la-Ville,20341.0,19.5,17.5
02580,Oulchy-le-Château,16845.0,26.1,28.0
02581,Paars,19002.0,26.4,25.2
02582,Paissy,15540.0,26.8,30.9
02583,Pancy-Courtecon,20526.0,23.2,23.2
02584,Papleux,17873.0,26.2,28.0
02585,Parcy-et-Tigny,20940.0,19.7,23.1
02586,Parfondeval,14504.0,28.5,27.2
02587,Parfondru,11917.0,31.2,26.2
02588,Pargnan,15864.0,28.2,24.9
02589,Pargny-et-Filain,16546.0,28.3,25.9
02590,Pargny-la-Dhuys,13699.0,32.9,33.2
02591,Pargny-les-Bois,24403.0,16.2,18.4
02592,Parpeville,20054.0,23.0,24.3
02593,Pasly,22120.0,20.3,19.8
02594,Passy-en-Valois,20614.0,23.7,22.0
02595,Passy-sur-Marne,11880.0,32.5,27.5
02596,Pavant,20560.0,22.4,26.3
02598,Pernant,15894.0,30.4,32.7
02599,Pierremande,20157.0,22.7,26.5
02600,Pierrepont,20257.0,22.3,19.8
02601,Pignicourt,19765.0,21.0,23.6
02602,Pinon,19346.0,21.4,24.7
02604,Pithon,16454.0,28.1,28.6
02605,Pleine-Selve,17735.0,28.1,26.4
02606,Le Plessier-Huleu,26817.0,12.9,10.7
02607,Ploisy,13416.0,31.9,33.8
02608,Plomion,25833.0,18.6,20.8
02609,Ployart-et-Vaurseine,12786.0,33.2,28.0
02610,Pommiers,17584.0,25.3,23.6
02612,Pont-Arcy,21313.0,20.4,21.2
02613,Pontavert,17270.0,25.1,29.0
02614,Pontru,17594.0,29.7,35.2
02615,Pontruet,19732.0,22.3,25.8
02616,Pont-Saint-Mard,18122.0,27.1,22.8
02617,Pouilly-sur-Serre,20004.0,24.0,22.9
02618,Prémont,17845.0,23.0,22.2
02619,Prémontré,20770.0,21.7,25.2
02620,Presles-et-Boves,24071.0,21.4,18.9
02621,Presles-et-Thierny,14773.0,28.1,23.4
02622,Priez,21763.0,20.4,18.1
02623,Prisces,17913.0,25.3,22.8
02624,Proisy,14572.0,33.5,39.6
02625,Proix,20638.0,24.9,20.4
02626,Prouvais,18021.0,22.3,25.9
02627,Proviseux-et-Plesnoy,20278.0,23.8,25.7
02628,Puiseux-en-Retz,16950.0,28.2,26.5
02629,Puisieux-et-Clanlieu,18030.0,25.9,29.7
02631,Quierzy,19679.0,24.3,19.8
02632,Quincy-Basse,24799.0,17.5,14.0
02633,Quincy-sous-le-Mont,16063.0,28.7,29.9
02634,Raillimont,18286.0,28.5,32.5
02635,Ramicourt,13535.0,34.2,39.2
02636,Regny,22858.0,20.0,21.9
02637,Remaucourt,19571.0,18.4,19.4
02638,Remies,19837.0,22.7,24.8
02639,Remigny,19202.0,26.1,26.3
02640,Renansart,20125.0,22.2,24.8
02641,Renneval,15617.0,25.6,26.0
02642,Résigny,17006.0,27.6,25.0
02643,Ressons-le-Long,21898.0,19.9,18.0
02644,Retheuil,21653.0,23.3,27.4
02645,Reuilly-Sauvigny,20572.0,21.7,20.7
02647,Ribeauville,20224.0,24.8,20.1
02648,Ribemont,17152.0,25.5,25.8
02649,Rocourt-Saint-Martin,17527.0,27.9,22.6
02650,Rocquigny,19486.0,25.9,27.8
02651,Rogécourt,20402.0,22.9,19.7
02652,Rogny,20507.0,23.6,19.0
02653,Romeny-sur-Marne,22085.0,21.2,19.6
02654,Romery,18797.0,25.2,26.6
02655,Ronchères,18394.0,24.3,25.9
02656,Roucy,12336.0,28.7,25.4
02657,Rougeries,17182.0,28.4,29.8
02658,Roupy,19077.0,26.2,27.8
02659,Rouvroy,23116.0,20.6,17.2
02660,Rouvroy-sur-Serre,16456.0,25.6,21.0
02661,Royaucourt-et-Chailvet,19695.0,22.6,21.5
02662,Rozet-Saint-Albin,22580.0,18.9,18.3
02663,Rozières-sur-Crise,17541.0,27.6,30.3
02664,Rozoy-Bellevalle,19182.0,25.1,22.6
02665,Grand-Rozoy,17866.0,27.2,21.8
02666,Rozoy-sur-Serre,15656.0,28.1,28.4
02667,Saconin-et-Breuil,18536.0,26.7,27.7
