CODGEO,NB_LOGEMENTS,NB_RP,NB_LOGVAC,NB_MAISON,NB_APPART,DEP
02043,63326,46598,6214,15112,31335,02
02044,1262,1011,95,507,593,02
02045,297,197,43,62,122,02
02046,2035,1604,242,811,870,02
02047,185,134,12,77,90,02
02048,188,153,23,81,101,02
02049,173,132,14,83,62,02
02050,481,349,59,210,113,02
02051,3188,2434,360,1367,1294,02
02052,282,196,41,122,81,02
02053,1477,1242,109,448,715,02
02054,13496,10060,1353,4580,6482,02
02055,407,298,49,109,107,02
02056,10641,7787,822,3288,2960,02
02057,2245,1694,140,827,752,02
02058,110,79,14,39,28,02
02059,397,312,27,136,168,02
02060,113,81,6,43,25,02
02061,1259,890,155,519,461,02
02062,168,135,21,81,42,02
02063,1780,1262,223,569,537,02
02064,1255,895,117,561,378,02
02065,148,99,15,40,67,02
02066,5619,3910,570,2432,2554,02
02067,2834,2055,240,649,1223,02
02068,166,126,14,78,61,02
02069,2877,1924,388,1002,834,02
02070,502,394,70,225,207,02
02071,6158,4983,344,3327,1907,02
02072,332,216,25,93,129,02
02073,437,335,55,188,162,02
02074,847,613,117,255,191,02
02075,4069,2698,418,1821,820,02
02076,1785,1455,224,687,797,02
02077,1396,985,163,645,500,02
02078,5088,4060,518,2678,2650,02
02079,322,256,41,174,132,02
02080,281,230,19,72,92,02
02081,107,83,7,36,26,02
02082,10973,9214,800,4761,4740,02
02083,493,398,25,174,238,02
02084,751,557,65,310,268,02
02085,182,142,17,78,79,02
02086,4805,3280,619,1719,1463,02
02087,2046,1603,103,755,922,02
02088,3725,2947,550,1069,1848,02
02089,1223,902,75,470,295,02
02090,2094,1524,253,918,821,02
02091,1477,1031,208,515,448,02
02092,107,88,15,56,55,02
02093,1175,850,158,472,568,02
02094,351,278,30,146,172,02
02095,19064,12464,1002,7978,7872,02
02096,21516,15725,1080,6354,10523,02
02097,811,604,50,218,289,02
02098,20096,16049,1574,5583,9295,02
02099,828,607,96,398,419,02
59001,3399,2400,494,1334,1013,59
59002,433,284,33,188,105,59
59003,4477,3169,373,1883,1415,59
59004,17427,14065,1195,6373,8985,59
59005,2114,1777,148,567,596,59
59006,1127,840,163,409,533,59
59007,3537,2743,352,1837,1592,59
59008,1385,1088,103,429,588,59
59009,25504,18699,1424,6374,7668,59
59010,621,404,59,136,259,59
59011,53648,37979,4930,21537,23539,59
59012,295,213,25,91,64,59
59013,615,480,47,320,319,59
59014,110,79,10,48,46,59
59015,1259,928,159,526,316,59
59016,1386,970,153,565,570,59
59017,13037,11061,1295,5908,5935,59
59018,165,108,18,71,73,59
59019,30708,22332,4260,13326,7733,59
59020,1092,886,108,380,459,59
59021,12434,9011,1247,6030,4151,59
59022,2428,1815,326,726,1125,59
59023,1728,1337,256,861,575,59
59024,488,321,60,134,183,59
59025,943,619,68,300,212,59
59026,31281,21292,2293,12493,8881,59
59027,34255,22871,4390,11054,9713,59
59028,1715,1349,213,848,619,59
59029,15907,11012,2371,5993,6992,59
59030,30636,21631,3986,8602,14493,59
59031,4779,3642,294,2098,1458,59
59032,1074,800,96,484,263,59
59033,562,369,33,130,211,59
59034,383,249,37,98,81,59
59035,3772,2891,296,1593,1789,59
59036,9,7,0,2,4,59
59037,1089,774,156,263,340,59
59038,4197,3375,320,1336,2095,59
59039,306,248,23,147,130,59
59040,9338,6746,798,3634,3498,59
59041,79,59,7,19,20,59
59042,242,188,22,120,79,59
59043,4463,2952,664,1246,1443,59
59044,2867,1977,146,1366,822,59
59045,309,225,32,101,141,59
59046,470,353,38,186,212,59
59047,459,326,57,173,227,59
59048,1639,1099,109,371,479,59
59049,14536,11275,1689,5585,7726,59
59050,820,569,64,298,384,59
59051,2088,1511,288,658,726,59
59052,3453,2425,442,925,1181,59
59053,1047,821,144,387,495,59
59054,3112,2139,350,680,835,59
59055,854,628,96,416,395,59
59056,6531,4251,765,2644,1893,59
59057,823,546,78,293,289,59
59058,20969,16053,2126,8394,7535,59
59059,1599,1227,195,418,453,59
59060,359,276,49,140,180,59
59061,3373,2304,351,891,1173,59
59062,2343,1576,250,962,883,59
59063,1441,1213,76,556,450,59
59064,696,487,46,177,299,59
59065,1633,1282,219,404,755,59
59066,745,524,41,358,243,59
59067,2221,1882,169,714,775,59
59068,1258,959,140,632,325,59
59069,83,61,8,31,36,59
59070,242,196,15,100,92,59
59071,359,305,48,170,197,59
59072,1345,997,156,622,370,59
59073,3345,2828,311,1410,1644,59
59074,203,140,26,80,78,59
59075,196,132,20,74,64,59
59076,1189,855,145,534,569,59
59077,772,513,79,347,201,59
59078,2564,1832,140,1058,826,59
59079,1324,971,179,395,472,59
59080,4952,3261,430,1662,1213,59
59081,4906,3902,610,1768,1828,59
59082,9081,7268,1067,2194,2240,59
59083,493,416,28,183,283,59
59084,2711,2210,237,1473,1246,59
59085,615,479,48,218,307,59
59086,6244,4627,465,2813,2496,59
59087,1998,1660,134,928,777,59
59088,329,225,41,128,74,59
59089,7707,6065,577,4125,3824,59
59090,67,51,6,18,19,59
59091,19511,14873,2593,4978,7653,59
59092,940,760,92,397,513,59
59093,10746,7910,738,2529,3999,59
59094,1126,785,160,263,547,59
59095,1604,1235,151,846,688,59
59096,4718,3987,498,1434,1358,59
59097,2049,1704,116,966,774,59
59098,1078,913,112,566,511,59
59099,332,224,26,79,109,59
60001,1220,851,62,354,522,60
60002,8986,6091,1306,2335,3872,60
60003,2320,1570,121,1049,941,60
60004,482,324,41,111,214,60
60005,7508,5213,561,2379,1736,60
60006,625,423,41,249,129,60
60007,9284,7317,704,2219,4600,60
60008,1829,1257,178,714,705,60
60009,908,711,136,234,481,60
60010,742,574,79,249,273,60
60011,26157,19192,3072,5830,9639,60
60012,2607,1897,240,876,800,60
60013,1318,947,81,445,573,60
60014,2528,1840,309,842,673,60
60015,424,342,44,145,117,60
60016,152,112,12,75,75,60
60017,5538,4333,667,1475,2000,60
60018,658,532,42,274,364,60
60019,33784,26561,3257,8956,16768,60
60020,46,33,4,17,12,60
60021,103,73,7,35,32,60
60022,6444,4587,959,2185,1600,60
60023,730,477,81,298,285,60
60024,349,289,50,89,89,60
60025,3105,2215,199,1073,1493,60
60026,43,27,3,10,12,60
60027,2819,1879,392,983,1069,60
60028,86434,57767,7703,17920,38183,60
60029,603,399,46,195,267,60
60030,286,224,40,98,156,60
60031,858,591,43,362,200,60
60032,8481,5651,637,3050,2200,60
60033,2226,1741,195,651,927,60
60034,5719,4493,400,1807,1484,60
60035,513,415,73,258,244,60
60036,764,529,83,322,273,60
60037,293,218,43,119,65,60
60038,976,803,88,471,241,60
60039,436,369,50,171,207,60
60040,10986,7435,1409,3096,4432,60
60041,1835,1382,240,937,655,60
60042,553,434,31,217,236,60
60043,130,102,18,61,62,60
60044,955,778,92,436,440,60
60045,1833,1519,235,688,753,60
60046,1583,1312,94,816,689,60
60047,23,17,1,8,10,60
60048,7603,5037,990,2299,2390,60
60049,3075,2175,391,1477,834,60
60050,706,557,83,184,314,60
60051,1207,911,154,434,558,60
60052,168,127,11,39,85,60
60053,11328,8265,1026,4329,3075,60
60054,60762,40374,4495,25198,27514,60
60055,97,63,14,27,41,60
60056,598,425,65,153,289,60
60057,92,71,7,38,21,60
60058,1316,935,135,378,374,60
60059,6291,5025,371,2213,1521,60
60060,155,112,14,68,50,60
60061,154,121,13,49,66,60
60062,20053,14759,2902,8892,7378,60
60063,182,142,20,49,79,60
60064,776,588,114,186,238,60
60065,11778,9869,1274,4197,3733,60
60066,116,94,14,40,49,60
60067,482,391,33,219,145,60
60068,42916,30529,5424,20902,20538,60
60069,1826,1299,154,901,809,60
60070,5145,3438,489,2172,1225,60
60071,6867,5328,574,2426,2691,60
60072,4272,3077,385,1221,1358,60
60073,1959,1284,139,598,461,60
60074,527,406,59,154,146,60
60075,137,94,15,54,45,60
60076,5192,4089,504,1569,1876,60
60077,628,429,71,168,281,60
60078,466,394,43,275,203,60
60079,1560,1258,214,455,836,60
60080,8825,6405,1321,4119,2125,60
60081,26590,19346,1715,10009,12095,60
60082,7052,4784,582,2551,2200,60
60083,570,385,59,118,267,60
60084,3378,2660,457,1386,1462,60
60085,502,327,58,194,137,60
60086,4032,3220,545,2217,1673,60
60087,1717,1261,207,730,869,60
60088,868,629,66,425,193,60
60089,17720,13318,1561,4601,6748,60
60090,1522,1101,120,748,368,60
60091,1258,910,95,375,522,60
60092,102,69,10,48,25,60
60093,65,42,5,29,18,60
60094,25,20,1,11,10,60
60095,14027,9775,1610,5440,3260,60
60096,649,493,43,230,207,60
60097,741,623,65,217,258,60
60098,396,267,52,181,110,60
60099,1864,1249,175,566,841,60
62001,2227,1838,199,666,630,62
62002,1281,1052,147,569,665,62
62003,201,156,20,95,68,62
62004,1443,1079,113,471,454,62
62005,2175,1628,222,531,552,62
62006,9035,6250,744,3703,2082,62
62007,3272,2526,180,1382,1685,62
62008,347,258,17,146,157,62
62009,680,562,51,178,176,62
62010,454,319,38,163,200,62
62011,7391,5186,442,3426,2268,62
62012,322,249,30,156,84,62
62013,519,437,45,271,232,62
62014,1936,1435,125,758,703,62
62015,265,205,37,69,85,62
62016,843,676,108,323,288,62
62017,638,470,61,230,198,62
62018,1683,1246,238,720,868,62
62019,1450,1206,103,526,550,62
62020,847,690,86,225,470,62
62021,278,222,34,86,80,62
62022,156,114,20,66,47,62
62023,810,603,106,391,267,62
62024,1978,1413,125,813,981,62
62025,114,89,9,57,52,62
62026,729,503,54,183,349,62
62027,2640,1866,271,1036,1158,62
62028,1168,781,66,443,426,62
62029,138,91,7,58,52,62
62030,1417,1014,94,481,474,62
62031,942,649,70,325,292,62
62032,380,312,40,204,136,62
62033,2633,1712,268,1081,586,62
62034,5788,3840,473,1362,2428,62
62035,16911,12524,2400,6728,6953,62
62036,1909,1321,252,633,873,62
62037,271,205,38,110,74,62
62038,61326,45957,5790,29207,14079,62
62039,750,502,53,265,151,62
62040,151,127,16,47,73,62
62041,457,310,25,105,147,62
62042,1329,973,93,650,449,62
62043,96,63,10,25,31,62
62044,10085,7988,812,4854,3420,62
62045,4241,3146,614,1066,1367,62
62046,1092,857,151,392,432,62
62047,514,434,48,254,236,62
62048,1735,1175,192,441,400,62
62049,202,155,11,56,68,62
62050,4767,3318,622,1333,1990,62
62051,25582,17923,1985,5579,8940,62
62052,472,342,45,165,228,62
62053,688,524,38,315,215,62
62054,8349,6181,614,3834,2750,62
62055,1020,856,119,393,413,62
62056,5277,4236,705,2170,1775,62
62057,2146,1724,184,800,912,62
62058,7205,5944,814,2345,3763,62
62059,366,250,30,147,92,62
62060,5630,4705,839,2084,2821,62
62061,71,55,6,24,19,62
62062,1871,1568,270,878,934,62
62063,654,530,63,264,301,62
62064,2869,1894,289,998,592,62
62065,2545,2034,353,1342,670,62
62066,2104,1378,177,784,753,62
62067,92,68,7,33,20,62
62068,578,387,44,183,197,62
62069,23776,15550,2169,6610,7591,62
62070,3103,2480,267,1530,881,62
62071,7940,5772,822,3693,3451,62
62072,1647,1239,92,841,399,62
62073,10585,6917,1334,3786,4257,62
62074,105,77,8,33,39,62
62075,15395,10578,1210,4219,5756,62
62076,265,216,15,88,145,62
62077,360,302,31,106,200,62
62078,66,55,7,18,27,62
62079,102,68,6,38,45,62
62080,4518,3447,424,1481,1683,62
62081,1642,1366,179,846,558,62
62082,489,322,28,127,104,62
62083,619,519,82,266,249,62
62084,2304,1735,294,1043,973,62
62085,136,93,15,61,53,62
62086,1614,1284,98,723,429,62
62087,17573,12766,2098,5737,5586,62
62088,798,533,100,208,304,62
62089,661,498,81,268,254,62
62090,2133,1513,255,938,597,62
62091,267,214,35,111,89,62
62092,1924,1445,169,882,996,62
62093,2756,2234,383,678,887,62
62094,834,666,88,450,223,62
62095,722,537,45,255,178,62
62096,399,319,30,198,137,62
62097,136,113,15,47,40,62
62098,7247,4857,517,2664,1795,62
62099,588,427,74,182,137,62
80001,3346,2330,494,781,837,80
80002,1934,1547,171,622,867,80
80003,3638,2433,426,1235,1256,80
80004,199,131,11,85,59,80
80005,7197,5519,933,2689,1875,80
80006,231,172,27,111,92,80
80007,379,281,42,171,144,80
80008,610,512,91,351,221,80
80009,969,669,123,363,450,80
80010,672,485,35,266,263,80
80011,15848,11856,1377,5640,7813,80
80012,1562,1266,93,472,492,80
80013,6635,5264,585,2593,2771,80
80014,611,493,50,223,227,80
80015,268,186,34,119,124,80
80016,2445,1856,200,1199,736,80
80017,2861,2295,350,1292,1476,80
80018,31,23,2,9,11,80
80019,337,232,35,99,126,80
80020,779,566,107,291,338,80
80021,474,326,50,135,196,80
80022,1718,1448,181,456,573,80
80023,4755,4017,324,2802,1226,80
80024,581,435,42,300,293,80
80025,2461,2065,216,931,1273,80
80026,603,469,60,209,249,80
80027,581,411,29,218,258,80
80028,155,126,10,69,40,80
80029,2412,1816,162,606,589,80
80030,564,454,58,154,188,80
80031,24477,17346,3588,8093,11008,80
80032,494,326,69,224,126,80
80033,325,224,44,130,115,80
80034,3536,2698,450,1154,897,80
80035,970,764,111,315,488,80
80036,1541,1132,151,667,516,80
80037,17265,12973,2520,8344,5664,80
80038,11645,9761,610,6648,4346,80
80039,987,649,58,354,270,80
80040,498,340,69,203,196,80
80041,2962,1951,337,668,1278,80
80042,140,109,16,40,63,80
80043,988,824,52,569,357,80
80044,7909,6717,922,2069,4088,80
80045,1620,1244,157,823,699,80
80046,223,186,16,94,98,80
80047,744,617,78,235,422,80
80048,3093,2311,212,1054,1081,80
80049,347,271,49,111,161,80
80050,135,114,14,77,71,80
80051,3943,2950,453,1289,1362,80
80052,3565,2592,366,1465,1119,80
80053,1888,1229,174,412,686,80
80054,295,246,23,157,106,80
80055,815,642,59,348,438,80
80056,33227,27788,4887,12829,16185,80
80057,80,59,10,19,19,80
80058,29,22,3,13,10,80
80059,647,424,70,200,273,80
80060,163,116,14,52,73,80
80061,1582,1066,193,421,546,80
80062,50,38,4,22,15,80
80063,687,513,63,199,170,80
80064,302,203,21,103,69,80
80065,5319,3478,536,1321,2072,80
80066,565,437,38,301,209,80
80067,701,536,96,302,208,80
80068,1223,889,114,502,418,80
80069,2696,2154,297,708,1273,80
80070,1500,1269,76,484,828,80
80071,795,627,40,308,437,80
80072,17653,12934,1797,5506,5406,80
80073,1726,1396,114,820,448,80
80074,39579,27514,2698,12187,9137,80
80075,4782,3872,332,2382,2339,80
80076,2572,1700,339,1117,799,80
80077,1780,1505,103,465,753,80
80078,3634,2543,347,1255,1681,80
80079,1315,1051,134,431,562,80
80080,654,531,62,182,361,80
80081,409,330,49,100,124,80
80082,4057,3278,420,1558,2133,80
80083,424,326,41,221,197,80
80084,5704,4319,826,3020,1694,80
80085,2667,1871,159,859,767,80
80086,608,485,44,222,216,80
80087,83,66,8,32,29,80
80088,198,165,23,57,62,80
80089,17720,13988,1994,5487,9069,80
80090,1753,1311,147,852,493,80
80091,1850,1453,223,559,760,80
80092,358,260,27,109,149,80
80093,215,177,15,117,69,80
80094,40,33,3,16,16,80
80095,3439,2575,316,1193,957,80
80096,175,120,16,54,58,80
80097,3662,2732,231,1524,1182,80
80098,40791,27078,2489,14231,11920,80
80099,929,650,51,310,234,80
22001,124445,83301,13263,47741,45031,22
22002,18975,16054,1681,4948,10666,22
22003,211,162,12,54,106,22
22004,3270,2582,476,1060,839,22
22005,6,4,0,2,1,22
22006,801,545,101,313,191,22
22007,182,139,11,69,46,22
22008,698,528,76,204,291,22
22009,3548,2959,289,1759,909,22
22010,2626,2072,252,796,848,22
22011,668,488,40,335,175,22
22012,714,586,105,407,222,22
22013,1873,1312,139,899,763,22
22014,88,59,8,37,18,22
22015,495,343,66,203,164,22
22016,3764,2739,332,1057,1670,22
22017,982,649,75,287,340,22
22018,69,56,10,20,30,22
22019,1701,1141,124,567,369,22
22020,2916,2378,222,801,1413,22
22021,27840,23525,3503,12703,7491,22
22022,2727,1894,292,956,918,22
22023,1123,766,103,250,237,22
22024,682,466,45,234,215,22
22025,346,244,35,140,114,22
22026,2042,1601,283,559,632,22
22027,1654,1144,231,722,715,22
22028,1056,849,59,569,424,22
22029,4637,3271,288,1232,1215,22
22030,7662,5970,1061,3859,2574,22
22031,2086,1573,111,485,909,22
22032,860,686,53,208,388,22
22033,4173,3378,405,1042,1451,22
22034,916,704,92,413,317,22
22035,13416,10821,1902,5669,3629,22
22036,10801,8182,590,5155,4442,22
22037,10883,7077,799,4097,3000,22
22038,276,213,17,117,96,22
22039,5354,4179,530,2425,2853,22
22040,6546,4722,458,2931,1865,22
22041,683,517,77,328,156,22
22042,721,530,41,317,289,22
22043,247,181,23,55,81,22
22044,8307,6558,924,3906,3195,22
22045,276,209,19,137,90,22
22046,2339,1968,234,1181,701,22
22047,167,120,19,59,61,22
22048,1742,1428,133,748,932,22
22049,61,50,6,20,34,22
22050,411,340,26,176,227,22
22051,4804,4082,568,2139,2382,22
22052,1242,985,181,412,542,22
22053,1984,1631,151,588,972,22
22054,1007,656,120,434,222,22
22055,3120,2553,306,1712,1503,22
22056,357,253,37,112,158,22
22057,1206,1020,177,633,679,22
22058,244,175,21,113,67,22
22059,2613,1952,311,610,997,22
22060,683,482,87,184,262,22
22061,2329,1748,144,988,766,22
22062,300,238,20,164,100,22
22063,162,129,18,64,74,22
22064,306,236,31,129,108,22
22065,285,235,30,139,107,22
22066,23329,18206,1305,9099,7777,22
22067,17000,13896,1773,9022,5742,22
22068,80,65,6,40,44,22
22069,143,103,11,32,62,22
22070,227,151,33,63,89,22
22071,65,50,4,23,15,22
22072,3838,2785,436,1372,1707,22
22073,2200,1690,192,854,960,22
22074,839,546,44,205,275,22
22075,6441,5276,579,3438,1629,22
22076,885,613,93,213,421,22
22077,6360,4501,868,2198,2013,22
22078,25374,18893,3057,5928,9305,22
22079,274,180,22,86,89,22
22080,5193,4325,694,2169,2064,22
22081,121,100,12,59,36,22
22082,1089,908,131,516,332,22
22083,5601,4266,673,1744,2810,22
22084,290,204,40,135,94,22
22085,815,609,120,212,193,22
22086,394,260,28,175,123,22
22087,1460,1076,170,374,442,22
22088,2062,1512,227,890,998,22
22089,673,450,38,137,265,22
22090,3299,2205,407,868,712,22
22091,2733,2123,140,1193,808,22
22092,902,613,85,219,203,22
22093,25,19,3,9,10,22
22094,38,27,2,13,16,22
22095,1448,1086,203,589,420,22
22096,979,718,104,346,317,22
22097,3900,2687,301,1190,810,22
22098,648,511,92,283,157,22
22099,31,21,4,11,10,22
29001,2507,1810,226,1221,1019,29
29002,561,436,78,190,173,29
29003,480,336,34,115,161,29
29004,2696,2153,336,933,1470,29
29005,492,353,46,215,166,29
29006,634,446,71,256,213,29
29007,53382,43907,6848,16258,26204,29
29008,1608,1314,171,663,883,29
29009,185,138,24,63,67,29
29010,1262,1038,138,318,631,29
29011,750,500,52,209,173,29
29012,6854,4585,968,2581,2805,29
29013,4867,3660,455,2127,2444,29
29014,880,590,118,281,313,29
29015,1125,894,124,312,333,29
29016,537,380,53,144,210,29
29017,1902,1560,279,927,529,29
29018,57,43,4,19,13,29
29019,1450,962,146,487,433,29
29020,5515,4419,632,2007,1828,29
29021,374,278,47,95,107,29
29022,1287,976,146,590,520,29
29023,563,451,57,144,153,29
29024,7124,5739,855,2322,3027,29
29025,6882,5305,645,1645,2979,29
29026,1173,842,66,448,359,29
29027,374,260,20,168,112,29
29028,1728,1358,250,630,855,29
29029,3818,2957,223,1653,1869,29
29030,215,164,14,103,67,29
29031,9063,6605,508,2451,3924,29
29032,1477,1112,219,658,504,29
29033,1828,1487,163,520,735,29
29034,7871,5338,1148,2243,1618,29
29035,349,227,48,120,89,29
29036,24536,19071,3025,6944,11046,29
29037,254,215,36,100,144,29
29038,512,398,75,198,160,29
29039,295,221,22,71,126,29
29040,1398,953,117,634,595,29
29041,886,743,74,464,343,29
29042,251,180,19,99,99,29
29043,286,240,42,96,157,29
29044,4102,3249,379,1302,1499,29
29045,1013,761,66,496,424,29
29046,1498,1233,160,727,623,29
29047,1263,1015,135,675,547,29
29048,762,619,64,301,363,29
29049,162,126,8,61,69,29
29050,1929,1516,276,589,964,29
29051,1595,1270,193,822,477,29
29052,664,488,97,302,341,29
29053,981,709,143,281,266,29
29054,8643,6494,615,4131,2876,29
29055,814,676,77,448,372,29
29056,160,119,23,40,39,29
29057,270,206,36,120,84,29
29058,1870,1564,231,770,487,29
29059,542,387,57,177,210,29
29060,520,387,70,119,258,29
29061,241,167,28,112,82,29
29062,1824,1341,200,754,678,29
29063,429,291,58,165,103,29
29064,256,198,31,60,92,29
29065,2473,1690,262,1180,836,29
29066,209,173,30,118,108,29
29067,106,78,14,43,47,29
29068,5428,4216,510,1496,1575,29
29069,1181,933,72,534,463,29
29070,396,280,57,131,162,29
29071,3718,2853,211,1725,1114,29
29072,6331,4521,852,1862,1870,29
29073,756,515,50,225,160,29
29074,35408,24613,2055,11414,8383,29
29075,11597,7564,1620,2689,3377,29
29076,1178,862,79,493,546,29
29077,901,658,105,299,289,29
29078,969,750,71,378,450,29
29079,1888,1356,126,767,796,29
29080,3058,2066,305,781,1083,29
29081,8155,6278,545,2779,1933,29
29082,835,677,104,234,324,29
29083,231,151,14,50,81,29
29084,1943,1633,166,732,769,29
29085,1964,1431,180,911,929,29
29086,1721,1283,192,615,628,29
29087,2133,1693,244,930,722,29
29088,63905,41995,6780,13639,24398,29
29089,1308,1016,130,693,628,29
29090,484,391,44,222,257,29
29091,10629,8203,935,4472,3424,29
29092,6668,5530,343,3060,3623,29
29093,485,353,29,197,190,29
29094,1716,1173,187,804,725,29
29095,4841,4069,349,1552,2541,29
29096,47828,33106,5907,18413,20790,29
29097,879,588,115,259,341,29
29098,1209,959,119,536,519,29
29099,160,135,10,73,66,29
35001,718,496,77,323,171,35
35002,3518,2784,517,913,1931,35
35003,1007,657,82,355,304,35
35004,5017,4095,379,1460,1892,35
35005,14716,9909,1425,6739,4539,35
35006,4925,4113,678,1641,2257,35
35007,1695,1439,238,657,970,35
35008,514,418,45,232,159,35
35009,3708,2973,252,2017,1714,35
35010,228,157,13,85,84,35
35011,609,401,72,150,269,35
35012,1499,1136,223,510,659,35
35013,4478,3692,226,1930,1136,35
35014,2279,1611,275,1053,617,35
35015,45,37,4,23,16,35
35016,157,115,17,35,65,35
35017,5684,4622,745,2300,1928,35
35018,572,395,66,166,156,35
35019,550,437,53,232,275,35
35020,523,410,61,236,260,35
35021,325,216,18,67,113,35
35022,2668,1953,306,934,945,35
35023,9506,7766,1020,4122,5040,35
35024,561,466,46,306,259,35
35025,191,160,24,48,67,35
35026,803,646,73,266,314,35
35027,54548,44204,6958,26069,14607,35
35028,39,30,4,14,18,35
35029,985,826,101,535,448,35
35030,990,751,122,329,432,35
35031,315,244,27,129,155,35
35032,5111,3449,463,2412,1589,35
35033,7936,6316,507,2798,2310,35
35034,26366,19737,3728,8267,8122,35
35035,3147,2411,405,1653,1429,35
35036,1952,1434,215,939,693,35
35037,142,97,19,31,54,35
35038,1775,1423,131,965,841,35
35039,2205,1554,207,611,1081,35
35040,552,387,58,269,236,35
35041,291,219,15,70,141,35
35042,194,163,16,52,50,35
35043,2335,1683,174,693,862,35
35044,6224,5164,409,1592,2841,35
35045,185,144,23,61,97,35
35046,10655,7155,690,3898,4543,35
35047,499,404,41,220,238,35
35048,938,723,129,223,378,35
35049,1050,780,96,317,482,35
35050,2214,1573,237,540,693,35
35051,422,347,44,195,189,35
35052,2837,2225,273,932,1408,35
35053,157,114,22,57,41,35
35054,1067,733,95,353,428,35
35055,11,8,1,4,3,35
35056,62,40,7,15,23,35
35057,4206,3250,272,1948,1356,35
35058,2163,1654,168,946,892,35
35059,1175,868,102,511,506,35
35060,1313,1071,66,557,602,35
35061,1482,1093,129,623,704,35
35062,2685,1944,304,911,1349,35
35063,1479,1038,132,548,687,35
35064,375,249,42,170,85,35
35065,1018,842,101,303,291,35
35066,564,407,45,201,136,35
35067,845,684,87,252,288,35
35068,1816,1232,131,641,662,35
35069,4871,3700,589,1943,2194,35
35070,44,33,3,15,14,35
35071,27,20,3,13,7,35
35072,1011,781,108,481,534,35
35073,245,187,16,77,87,35
35074,4327,3084,646,1685,1361,35
35075,1434,1162,150,539,789,35
35076,4741,3458,335,1365,1238,35
35077,712,592,70,284,180,35
35078,1918,1404,152,681,467,35
35079,22,15,1,10,5,35
35080,848,576,43,195,292,35
35081,5027,4202,554,2794,1911,35
35082,113,92,10,56,43,35
35083,99,67,6,23,37,35
35084,472,395,32,273,198,35
35085,27061,20866,3108,13403,6476,35
35086,256,214,37,130,144,35
35087,21957,15669,2068,5623,7110,35
35088,3537,2696,258,958,1832,35
35089,147042,104487,10961,41151,59055,35
35090,1168,856,104,458,259,35
35091,5073,3880,288,1354,1532,35
35092,28427,18599,1907,7887,10860,35
35093,310,225,23,139,119,35
35094,26,19,3,8,10,35
35095,1428,1050,141,369,514,35
35096,20655,15696,1999,8137,8012,35
35097,1666,1180,186,763,390,35
35098,303,241,16,93,109,35
35099,319,256,17,143,150,35
56001,2301,1895,321,591,644,56
56002,1224,886,125,540,295,56
56003,562,372,62,153,115,56
56004,1398,969,174,538,526,56
56005,3382,2584,225,1660,1806,56
56006,535,367,31,214,206,56
56007,684,526,102,245,321,56
56008,2292,1824,169,1238,1051,56
56009,468,376,28,207,211,56
56010,1129,950,147,490,521,56
56011,1281,981,103,529,528,56
56012,440,298,57,190,200,56
56013,429,307,53,144,137,56
56014,736,503,56,330,278,56
56015,3046,2482,188,751,1548,56
56016,785,571,110,225,272,56
56017,820,672,79,385,418,56
56018,3695,2701,303,1047,1780,56
56019,2328,1809,281,1094,1075,56
56020,3753,2531,328,1226,1475,56
56021,600,485,79,287,284,56
56022,1,0,0,0,0,56
56023,215,182,31,70,124,56
56024,3617,2492,376,1301,749,56
56025,2267,1867,204,743,1182,56
56026,25996,18471,2100,11598,9338,56
56027,125,106,12,32,37,56
56028,209,164,15,85,71,56
56029,1743,1361,252,580,918,56
56030,233,163,27,57,101,56
56031,216,182,12,95,109,56
56032,2596,1755,176,546,987,56
56033,1856,1530,214,797,565,56
56034,1674,1100,248,718,452,56
56035,7042,5927,969,2917,1962,56
56036,64,42,8,25,27,56
56037,3224,2720,357,1253,933,56
56038,4474,3451,625,1996,1399,56
56039,61,49,7,34,28,56
56040,765,633,100,333,339,56
56041,364,251,41,77,117,56
56042,1836,1436,103,797,456,56
56043,2724,2009,289,777,1402,56
56044,16099,11587,1484,4199,6988,56
56045,3279,2256,200,970,1474,56
56046,1893,1290,99,901,858,56
56047,1344,952,200,322,469,56
56048,4396,3472,340,1252,1949,56
56049,5674,4376,549,2740,1578,56
56050,19768,13718,1229,9022,5316,56
56051,8755,6921,826,2921,2541,56
56052,962,667,125,282,220,56
56053,4034,2837,217,1874,1125,56
56054,3956,3274,362,1349,1513,56
56055,160,135,9,54,59,56
56056,699,494,57,195,283,56
56057,2601,2202,196,1411,1267,56
56058,96,77,11,25,33,56
56059,537,440,77,293,196,56
56060,1235,1025,129,336,670,56
56061,856,576,119,317,326,56
56062,662,450,89,181,285,56
56063,779,603,68,208,253,56
56064,1354,1068,83,623,720,56
56065,2807,1946,228,836,856,56
56066,8969,7480,1312,4861,4619,56
56067,2110,1557,288,837,781,56
56068,2035,1493,129,723,880,56
56069,3856,2745,304,1775,1240,56
56070,17568,12881,2496,3988,5868,56
56071,1130,752,127,336,451,56
56072,806,589,73,184,231,56
56073,67,54,3,22,23,56
56074,10707,8138,1511,4764,3707,56
56075,15343,12222,1159,5300,4090,56
56076,2249,1641,319,515,741,56
56077,476,375,61,154,118,56
56078,864,590,82,282,364,56
56079,194,130,27,60,46,56
56080,463,334,24,170,217,56
56081,576,458,40,226,305,56
56082,1596,1186,192,664,447,56
56083,837,560,90,289,220,56
56084,152,120,8,40,47,56
56085,557,385,31,175,166,56
56086,390,317,37,115,129,56
